"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,136125124,119775956,1,4,,"U",0,3,,
2019,136125125,119775957,1,5,40,"M",1,2,40,0
2019,136125126,119775958,1,5,54,"M",2,2,54,0
2019,136125127,119775959,0,,,"",,,,
2019,136125128,119775960,1,5,54,"M",2,3,54,0
2019,136125129,119775961,1,5,30,"M",1,2,30,0
2019,136125130,119775962,1,4,,"U",0,3,,
2019,136125131,119775963,1,5,35,"M",2,2,35,0
2019,136125133,119775964,2,5,9,"M",2,2,9,0
2019,136125132,119775964,1,5,10,"M",2,2,10,0
2019,136125134,119775965,1,5,40,"M",1,2,40,0
2019,136125135,119775966,1,5,19,"M",2,2,19,0
2019,136125136,119775967,1,4,,"U",2,2,,
2019,136125137,119775968,1,5,32,"M",2,2,32,0
2019,136125138,119775969,1,5,45,"M",2,2,45,0
2019,136125139,119775970,1,5,59,"M",2,2,59,0
2019,136125141,119775971,2,5,25,"F",2,2,25,0
2019,136125140,119775971,1,5,20,"M",2,2,20,0
2019,136125144,119775973,2,5,27,"M",2,2,27,0
2019,136125143,119775973,1,5,29,"M",2,2,29,0
2019,136125145,119775974,1,5,27,"M",1,2,25,30
2019,136125146,119775974,2,5,27,"M",2,2,25,30
2019,136125147,119775975,1,4,,"U",0,3,,
2019,136125148,119775976,1,5,17,"F",2,2,17,0
2019,136125149,119775977,1,4,,"U",0,3,,
2019,136125150,119775978,1,5,22,"M",1,1,22,0
2019,136125153,119775980,0,,,"",,,,
2019,136125154,119775981,1,5,35,"M",2,2,30,40
2019,136125155,119775982,1,4,,"U",0,3,,
2019,136125157,119775983,2,4,,"M",2,2,,
2019,136125156,119775983,1,4,,"U",0,3,,
2019,136125160,119775984,3,5,20,"M",1,3,20,0
2019,136125159,119775984,2,5,20,"M",1,3,20,0
