"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2019,138494615,113389118,51,"C",20,,""
2019,138500320,113383842,39,"C",20,,""
2019,138500319,113383842,16,"C",20,,""
2019,138500318,113383842,28,"C",20,,""
2019,138500335,113383859,45,"A",45,,""
2019,138494652,113383859,41,"C",45,,""
2019,138500343,113389145,51,"C",20,,""
2019,138500342,113389145,29,"C",20,,""
2019,138485479,113389156,49,"C",20,,"F"
2019,138485480,113389156,5,"C",20,,""
2019,138485486,113397040,5,"C",13,,""
2019,138494690,113389171,51,"C",18,,""
2019,138494691,113389172,51,"C",20,,""
2019,138494706,113389184,5,"C",18,,""
2019,138485530,113383916,41,"C",23,,""
2019,138494710,113389190,5,"C",20,,""
2019,138494717,113389194,51,"C",20,,""
2019,138485550,113389204,11,"C",7,,""
2019,138500396,113389206,45,"C",1,,""
2019,138494728,113389209,56,"C",20,,""
2019,138494729,113389210,41,"C",12,,""
2019,138494731,113397081,5,"C",18,,""
2019,138494730,113397081,14,"C",18,,""
2019,138485564,113389211,11,"C",3,,""
2019,138494735,113389212,51,"C",20,,""
2019,138500413,113389213,27,"C",13,,""
2019,138500414,113389213,51,"C",13,,""
2019,138494740,113389215,21,"C",5,,""
2019,138494739,113389215,28,"C",18,,""
2019,138494741,113389216,27,"C",20,,""
2019,138494742,113389217,51,"C",20,,""
2019,138494746,113389218,39,"C",20,,""
2019,138494745,113389218,16,"C",20,,""
2019,138494785,113389242,16,"C",13,,""
2019,138494849,113389296,27,"C",46,,""
2019,138500506,113389302,49,"C",20,,"N"
2019,138494859,113389304,27,"C",20,,""
2019,138494861,113389305,39,"C",20,,""
2019,138494860,113389305,40,"A",20,,""
2019,138494862,113389306,51,"C",20,,""
2019,138503294,113389306,45,"C",20,,""
2019,138503297,113401226,45,"C",20,,""
2019,138494863,113389307,45,"C",13,,""
2019,138503302,113389308,28,"C",18,,""
2019,138503304,113401231,45,"C",18,,""
2019,138503305,113389309,51,"C",15,,""
2019,138494865,113389310,21,"C",20,,""
2019,138494866,113389311,44,"C",23,,""
2019,138494867,113389312,39,"C",13,,""
2019,138494868,113389313,39,"C",13,,""
2019,138494869,113389314,27,"C",13,,""
2019,138494870,113389315,51,"C",20,,""
2019,138494871,113389316,27,"C",20,,""
2019,138494872,113389317,51,"C",20,,""
2019,138494875,113389319,23,"C",7,,""
2019,138494876,113389320,39,"C",13,,""
2019,138494878,113389321,45,"C",13,,""
2019,138494879,113389322,51,"C",20,,""
2019,138494880,113389323,51,"C",20,,""
2019,138503317,113389324,45,"C",20,,""
2019,138494882,113401245,51,"C",20,,""
2019,138494883,113389327,51,"C",20,,""
2019,138494884,113389328,5,"C",18,,""
2019,138503323,113389329,49,"C",20,,"F"
2019,138503324,113389329,5,"C",20,,""
2019,138494885,113389330,51,"C",20,,""
2019,138503330,113401253,51,"C",20,,""
2019,138494889,113389333,29,"C",20,,""
2019,138494890,113389333,27,"C",20,,""
2019,138494891,113389334,5,"C",41,,""
2019,138494892,113389335,11,"C",2,,""
2019,138494893,113389335,45,"C",2,,""
2019,138494895,113389336,5,"C",24,,""
2019,138494894,113389336,49,"C",24,,"F"
2019,138494896,113389337,39,"C",18,,""
2019,138494897,113389338,5,"C",20,,""
2019,138494899,113389339,5,"C",20,,""
2019,138494898,113389339,51,"C",20,,""
2019,138494901,113389341,5,"C",20,,""
2019,138494902,113389342,45,"C",23,,""
2019,138494903,113389343,5,"C",20,,""
2019,138494904,113389344,21,"C",13,,""
2019,138503351,113389345,27,"C",13,,""
2019,138503352,113389345,5,"C",13,,""
2019,138494905,113389346,51,"C",20,,""
2019,138494906,113389346,5,"C",20,,""
2019,138494907,113389347,5,"C",20,,""
2019,138494909,113389348,5,"C",20,,""
2019,138494908,113389348,49,"A",20,,"N"
2019,138494910,113389349,21,"C",20,,""
2019,138494911,113389350,49,"A",20,,"N"
2019,138494912,113389351,51,"C",13,,""
2019,138494913,113389352,35,"C",13,,""
2019,138494915,113389354,45,"C",20,,""
2019,138494916,113389355,35,"C",13,,""
2019,138494917,113389356,5,"C",20,,""
2019,138494918,113389357,51,"C",20,,""
2019,138494919,113389358,51,"C",20,,""
2019,138494920,113389359,21,"C",13,,""
2019,138494922,113389361,51,"C",20,,""
2019,138494924,113389362,5,"C",20,,""
2019,138494923,113389362,27,"C",20,,""
2019,138494927,113389365,51,"C",20,,""
2019,138494928,113389366,41,"C",23,,""
2019,138494929,113389366,45,"C",23,,""
2019,138494930,113389367,41,"C",7,,""
2019,138494931,113389368,51,"C",18,,""
2019,138494932,113389369,49,"C",6,,"F"
2019,138494933,113389369,5,"C",6,,""
2019,138494934,113389370,49,"C",20,,"N"
2019,138494935,113389371,27,"C",20,,""
2019,138494937,113389372,5,"C",20,,""
2019,138494936,113389372,51,"C",20,,""
2019,138494938,113389373,45,"C",20,,""
2019,138494939,113389374,27,"C",20,,""
2019,138494941,113389376,23,"C",12,,""
2019,138494942,113389377,45,"C",20,,""
2019,138494943,113389378,46,"C",21,,""
2019,138494944,113389379,5,"C",41,,""
2019,138494945,113389380,45,"C",20,,""
2019,138494946,113389381,49,"C",20,,"N"
2019,138494948,113389383,45,"C",20,,""
2019,138494949,113389384,45,"C",18,,""
2019,138494950,113389385,49,"C",20,,"N"
2019,138494951,113389386,51,"C",7,,""
2019,138494952,113389387,16,"C",13,,""
2019,138494953,113389388,56,"C",20,,""
2019,138494954,113389389,27,"C",20,,""
2019,138494955,113389390,51,"C",14,,""
2019,138494956,113389391,51,"C",20,,""
2019,138494957,113389392,27,"C",20,,""
2019,138494958,113389393,5,"C",20,,""
2019,138494959,113389394,40,"A",13,,""
2019,138494960,113389395,5,"C",20,,""
2019,138494961,113389396,40,"A",23,,""
2019,138494962,113389397,16,"C",13,,""
2019,138494964,113389399,45,"C",20,,""
2019,138494965,113389400,5,"C",13,,""
2019,138494966,113389401,5,"C",20,,""
2019,138494967,113389402,23,"C",12,,""
2019,138494968,113389403,5,"C",13,,""
2019,138494969,113389404,5,"C",13,,""
2019,138494970,113389405,14,"C",13,,""
2019,138494971,113389406,16,"C",18,,""
2019,138494972,113389407,45,"C",20,,""
2019,138494973,113389408,27,"C",20,,""
2019,138494974,113389409,51,"C",20,,""
2019,138494975,113389409,5,"C",20,,""
2019,138494976,113389410,27,"C",20,,""
2019,138494977,113389411,44,"C",13,,""
2019,138494978,113389412,40,"C",20,,""
2019,138494979,113389412,49,"C",20,,"N"
2019,138494980,113389413,49,"A",20,,"N"
2019,138494981,113389414,51,"C",25,,""
2019,138494982,113389415,51,"C",13,,""
2019,138494983,113389416,5,"C",20,,""
2019,138494984,113389417,27,"C",15,,""
2019,138494985,113389418,16,"C",13,,""
2019,138494986,113389419,45,"C",20,,""
2019,138494987,113389420,45,"C",20,,""
2019,138494988,113389421,51,"C",20,,""
2019,138494989,113389422,51,"C",14,,""
2019,138494990,113389423,51,"C",14,,""
2019,138494991,113389424,40,"A",20,,""
2019,138494993,113389425,5,"C",20,,""
2019,138494992,113389425,51,"C",20,,""
2019,138494995,113389427,5,"C",18,,""
2019,138494997,113389429,45,"C",5,,""
2019,138494998,113389429,5,"C",5,,""
2019,138494999,113389430,14,"C",13,,""
2019,138495000,113389431,7,"C",24,,""
2019,138495001,113389431,5,"C",24,,""
2019,138495002,113389432,51,"C",20,,""
2019,138495003,113389433,51,"C",20,,""
2019,138495004,113389434,51,"C",8,,""
2019,138495005,113389435,27,"C",14,,""
2019,138495006,113389436,44,"C",20,,""
2019,138495007,113389437,46,"C",20,,""
2019,138495008,113389438,23,"C",7,,""
2019,138495009,113389439,45,"C",20,,""
2019,138495010,113389440,49,"C",20,,"N"
2019,138495011,113389441,45,"C",20,,""
2019,138495012,113389442,7,"C",20,,""
2019,138495015,113389445,5,"C",20,,""
2019,138495016,113389446,49,"C",20,,"N"
2019,138495018,113389447,5,"C",20,,""
2019,138495017,113389447,49,"A",20,,"F"
2019,138495020,113389449,51,"C",13,,""
2019,138495021,113389450,51,"C",20,,""
2019,138495022,113389451,16,"C",13,,""
2019,138495023,113389452,49,"C",6,,"F"
2019,138495024,113389452,5,"C",6,,""
2019,138495025,113389453,14,"C",13,,""
2019,138495026,113389454,51,"C",20,,""
2019,138495027,113389455,14,"C",20,,""
2019,138495028,113389456,51,"C",21,,""
2019,138495029,113389457,14,"C",13,,""
2019,138495031,113389459,39,"C",20,,""
2019,138495032,113389460,51,"C",20,,""
2019,138495034,113389461,27,"C",20,,""
2019,138495033,113389461,29,"C",20,,""
2019,138495035,113389462,41,"C",20,,""
2019,138495036,113389463,51,"C",20,,""
2019,138495037,113389464,14,"C",18,,""
2019,138495039,113389465,5,"C",18,,""
2019,138495038,113389465,14,"C",18,,""
2019,138495040,113389466,16,"C",20,,""
2019,138495041,113389467,41,"A",25,,""
2019,138495042,113389468,5,"C",11,,""
2019,138495043,113389469,45,"C",4,,""
2019,138495044,113389470,51,"C",7,,""
2019,138495045,113389471,7,"C",13,,""
2019,138495047,113389472,51,"C",18,,""
2019,138495046,113389472,45,"C",18,,""
2019,138495048,113389473,7,"C",18,,""
2019,138495049,113389474,45,"C",20,,""
2019,138495050,113389475,51,"C",13,,""
2019,138495051,113389476,5,"C",20,,""
2019,138495052,113389477,5,"C",20,,""
2019,138495054,113389479,51,"C",13,,""
2019,138495055,113389480,51,"C",20,,""
2019,138495056,113389481,51,"C",20,,""
2019,138495057,113389482,39,"C",13,,""
2019,138495058,113389483,51,"C",14,,""
2019,138495061,113389485,51,"C",20,,""
2019,138495062,113389486,51,"C",20,,""
2019,138495063,113389487,51,"C",42,,""
2019,138495064,113389488,5,"C",18,,""
2019,138495065,113389489,45,"C",18,,""
2019,138495066,113389490,45,"C",23,,""
2019,138495067,113389491,14,"C",18,,""
2019,138495068,113389492,14,"C",20,,""
2019,138495069,113389493,49,"C",20,,"N"
2019,138495070,113389494,51,"C",13,,""
2019,138495071,113389495,5,"C",20,,""
2019,138495072,113389496,5,"C",20,,""
2019,138495073,113389497,14,"C",13,,""
2019,138495075,113389499,45,"C",20,,""
2019,138495076,113389500,51,"C",18,,""
2019,138495077,113389501,51,"C",20,,""
2019,138495078,113389502,14,"C",18,,""
2019,138495079,113389503,27,"C",20,,""
2019,138495081,113389504,5,"C",20,,""
2019,138495080,113389504,49,"C",20,,"F"
2019,138495082,113389505,14,"C",18,,""
2019,138495083,113389506,44,"C",20,,""
2019,138495084,113389507,56,"C",4,,""
2019,138495085,113389508,51,"C",3,,""
2019,138495086,113389509,29,"C",20,,""
2019,138495087,113389509,27,"C",20,,""
2019,138495088,113389510,7,"C",20,,""
2019,138495089,113389511,51,"C",20,,""
2019,138495094,113389513,51,"C",20,,""
2019,138495095,113389514,27,"C",20,,""
2019,138495096,113389514,5,"C",20,,""
2019,138495098,113389515,5,"C",20,,""
2019,138495097,113389515,27,"C",20,,""
2019,138495101,113389517,49,"C",25,,"N"
2019,138495104,113389519,45,"C",20,,""
2019,138495105,113389519,51,"C",20,,""
2019,138495106,113389520,27,"C",20,,""
2019,138495107,113389521,21,"C",13,,""
2019,138495108,113389522,23,"C",23,,""
2019,138495109,113389523,21,"C",13,,""
2019,138495110,113389524,2,"A",20,,""
2019,138495112,113389526,51,"C",13,,""
2019,138495113,113389527,23,"C",8,,""
2019,138495114,113389528,29,"C",20,,""
2019,138495115,113389529,5,"C",20,,""
2019,138495116,113389530,45,"C",13,,""
2019,138495117,113389531,21,"C",20,,""
2019,138495118,113389532,51,"C",13,,""
2019,138495119,113389533,51,"C",20,,""
2019,138495121,113389535,23,"C",12,,""
2019,138495122,113389536,39,"C",13,,""
2019,138495123,113389537,49,"C",20,,"F"
2019,138495124,113389537,5,"C",20,,""
2019,138495127,113389540,40,"C",7,,""
2019,138495128,113389541,51,"C",20,,""
2019,138495131,113389543,51,"C",25,,""
2019,138495132,113389544,5,"C",20,,""
2019,138495133,113389545,23,"C",7,,""
2019,138495134,113389546,51,"C",13,,""
2019,138495135,113389547,39,"C",13,,""
2019,138495136,113389548,5,"C",20,,""
2019,138495137,113389549,51,"C",20,,""
2019,138495138,113389549,5,"C",20,,""
2019,138495139,113389550,44,"C",20,,""
2019,138495140,113389550,5,"C",18,,""
2019,138495141,113389551,49,"C",20,,"N"
2019,138495142,113389552,51,"C",20,,""
2019,138495143,113389553,51,"C",13,,""
2019,138495144,113389554,51,"C",20,,""
2019,138495145,113389555,44,"C",13,,""
2019,138495146,113389556,21,"A",18,,""
2019,138495147,113389556,5,"C",18,,""
2019,138495148,113389557,14,"C",20,,""
2019,138495149,113389558,5,"C",20,,""
2019,138495150,113389559,51,"C",20,,""
2019,138495151,113389560,5,"C",18,,""
2019,138495152,113389561,51,"C",20,,""
2019,138495153,113389562,35,"C",20,,""
2019,138495155,113389564,39,"C",13,,""
2019,138495157,113389565,5,"C",20,,""
2019,138495156,113389565,27,"C",13,,""
2019,138495158,113389566,27,"C",20,,""
2019,138495159,113389566,5,"C",20,,""
2019,138495160,113389567,27,"C",3,,""
2019,138495161,113389568,16,"C",13,,""
2019,138495162,113389569,5,"C",20,,""
2019,138495163,113389570,14,"C",18,,""
2019,138495164,113389571,45,"C",20,,""
2019,138495165,113389572,49,"C",6,,"F"
2019,138495166,113389572,5,"C",6,,""
2019,138495167,113389573,49,"C",20,,"F"
2019,138495168,113389574,5,"C",20,,""
2019,138495169,113389575,45,"C",38,,""
2019,138495170,113389576,7,"C",13,,""
2019,138495171,113389577,45,"C",20,,""
2019,138495172,113389578,41,"C",24,,""
