"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,120223534,20,110,,132491604
2019,120223541,3,1200,,132491615
2019,120223545,3,1,01-AUG-19,132491622
2019,120223546,3,1,,132491623
2019,120223548,47,0,,132491624
2019,120223553,9,0,,132491629
2019,120223553,25,5,,132491630
2019,120223554,59,1,,132491631
2019,120223561,3,1000,,132491642
2019,120223560,3,1000,05-AUG-19,132491641
2019,120223563,6,30,,132491644
2019,120223563,63,1,,132491645
2019,120223576,29,150,,132491658
2019,120223577,20,675,,132491659
2019,120223581,16,350,,132491663
2019,120223582,20,5,,132491664
2019,120223585,63,1,,132491667
2019,120223586,51,0,,132491668
2019,120223587,31,3000,,132491669
2019,120223590,9,0,04-AUG-19,132491672
2019,120223591,9,0,,132491673
2019,120223596,16,10,,132491680
2019,120223595,3,4000,06-AUG-19,132491679
2019,120223596,3,4000,,132491681
2019,120223597,29,2000,,132491682
2019,120223599,7,700,,132491684
2019,120223602,20,42,,132491687
2019,120223603,63,150,,132491688
2019,120223604,20,306,,132491689
2019,120223608,19,4,,132491694
2019,120223612,51,0,,132491698
2019,120223616,29,400,,132491702
2019,120223618,61,1200,,132491703
2019,120223619,61,600,,132491704
2019,120223619,19,300,,132491705
2019,120223620,13,490,,132491706
2019,120223621,29,500,,132491707
2019,120223623,26,1,,132491709
2019,120223624,16,50,,132491710
2019,120223626,7,65,,132491711
2019,120223627,10,,,132491712
2019,120223628,29,200,,132491713
2019,120223630,8,10,,132491715
2019,120223630,63,65,,132491716
2019,120223630,61,130,,132491714
2019,120223631,51,0,,132491717
2019,120223631,20,749,,132491720
2019,120223631,9,0,,132491718
2019,120223631,61,300,,132491719
2019,120223631,7,900,,132491721
2019,120223631,25,50,,132491722
2019,120223632,3,2000,07-AUG-19,132491723
2019,120223633,3,2000,,132491724
2019,120223634,13,500,,132491725
2019,120223635,38,1,,132491726
2019,120223636,3,100,,132491727
2019,120223637,3,200,,132491728
2019,120223638,19,50,,132491729
2019,120223639,20,10,,132491730
2019,120223640,3,100,,132491731
2019,120223641,29,150,,132491732
2019,120223642,63,356,,132491737
2019,120223642,26,200,,132491736
2019,120223642,51,0,,132491734
2019,120223642,16,150,,132491735
2019,120223642,47,0,,132491733
2019,120223643,61,50,,132491738
2019,120223644,30,120,,132491739
2019,120223645,8,5,,132491741
2019,120223644,63,20,,132491740
2019,120223646,20,163,,132491742
2019,120223647,51,0,,132491744
2019,120223647,47,0,,132491743
2019,120223647,10,7,,132491745
2019,120223647,9,0,,132491746
2019,120223647,63,25,,132491749
2019,120223647,8,25,,132491747
2019,120223647,25,180,,132491748
2019,120223648,29,100,,132491750
2019,120223649,29,100,,132491751
2019,120223650,20,3400,,132491752
2019,120223651,3,250,,132491753
2019,120223652,54,300,,132491754
2019,120223653,9,0,,132491756
2019,120223653,25,10,,132491758
2019,120223653,51,0,,132491755
2019,120223653,20,8,,132491757
2019,120223654,3,200,,132491759
2019,120223656,63,18,,132491764
2019,120223655,3,200,,132491760
2019,120223656,25,20,,132491763
2019,120223656,8,101,,132491762
2019,120223656,6,44,,132491761
2019,120223658,20,1,,132491766
2019,120223658,11,55,,132491765
2019,120223659,19,44,07-AUG-19,132491767
2019,120223660,19,44,,132491768
2019,120223661,29,75,,132491769
2019,120223664,3,100,,132491770
2019,120223665,29,50,,132491771
2019,120223665,16,100,,132491772
2019,120223666,20,3000,,132491774
2019,120223666,25,10,,132491775
2019,120223666,51,0,,132491773
2019,120223670,37,5000,,132491778
2019,120223669,37,5000,10-AUG-19,132491777
2019,120223671,3,1000,,132491779
2019,120223672,10,,,132491780
2019,120223672,63,,,132491781
2019,120223673,22,0,,132491782
2019,120223674,3,1,10-AUG-19,132491783
2019,120223675,3,1,,132491784
2019,120223676,29,200,,132491785
2019,120223677,6,1050,,132491786
2019,120223678,30,50,,132491787
2019,120223679,26,3220,,132491790
2019,120223679,7,450,,132491791
2019,120223679,16,120,,132491789
2019,120223679,59,3100,,132491788
2019,120223680,20,400,,132491792
2019,120223681,6,1,,132491793
2019,120223683,3,50,,132491795
2019,120223684,51,0,,132491797
2019,120223684,25,30,,132491800
2019,120223684,20,40,,132491799
2019,120223684,47,0,,132491796
2019,120223684,9,0,,132491798
2019,120223684,63,1,,132491801
2019,120223685,21,1,,132491802
2019,120223686,20,36,,132491803
2019,120223687,38,6,,132491804
2019,120223688,10,,,132491805
2019,120223689,29,100,,132491806
2019,120223691,16,50,,132491807
2019,120223692,29,500,,132491808
2019,120223693,29,300,,132491809
2019,120223694,20,10,,132491810
2019,120223695,22,0,,132491811
2019,120223696,3,2000,,132491812
2019,120223697,38,1,,132491813
2019,120223698,19,60,09-AUG-19,132491814
2019,120223699,19,60,,132491815
2019,120223700,3,2000,,132491816
2019,120223701,51,0,,132491817
2019,120223701,20,771,,132491820
