"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,111582383,13,1,10538335
2019,4,111582410,1,1,10538338
2019,5,111582457,0.6,1,10538349
2019,5,111582610,6.15,1,10538363
2019,2,111582610,130.77,1,10538364
2019,17,111582610,10,9,10538365
2019,12,115061698,0.5,1,11133839
2019,2,115061698,3.4,1,11129584
2019,4,115061698,1.7,1,11129583
2019,12,115064864,0.01,1,11136517
2019,5,115069266,0.5,1,11136532
2019,4,116992671,0.9,1,11665486
2019,4,116992620,1.7,1,11672650
2019,5,116992661,,,11665484
2019,4,116992670,,,11665485
2019,5,115069385,207.65,1,11136539
2019,5,115069441,9.1,1,11136552
2019,5,115069461,,,11136554
2019,5,111582466,,,10538351
2019,5,115064837,3.16,1,11129587
2019,5,115064947,0.1,1,11136524
2019,1,115061965,26.9,1,11136551
2019,5,115061965,4.6,1,11133863
2019,5,115069535,37.1,1,11129637
2019,5,115062082,1.9,1,11133878
2019,8,121788343,3,9,13147511
2019,2,121784058,5.5,1,13138512
2019,5,121784092,54,1,13138518
2019,5,121784098,,,13138519
2019,5,121784135,9.5,1,13138522
2019,17,121784141,42.4,9,13138523
2019,5,121784257,2.1,1,13138525
2019,5,121784265,0.4,1,13138527
2019,12,121784265,2.9,1,13138526
2019,5,121784266,125,1,13138528
2019,5,121784282,,,13138529
2019,1,121784300,0.94,1,13138530
2019,5,121784307,59.1,1,13138531
2019,5,121784310,2.2,1,13138532
2019,5,121784324,,,13138533
2019,16,121784334,0.7,1,13138534
2019,5,121784341,14.9,1,13138535
2019,5,121784360,9,1,13138536
2019,8,121784479,1,11,13138537
2019,2,121784501,0.1,1,13138538
2019,5,121784544,2,1,13138539
2019,5,121784565,116.85,1,13138540
2019,16,121784569,6.06,1,13138541
2019,12,121794598,1.1,1,13138542
2019,1,121794660,0.2,1,13138543
2019,5,121794668,3,1,13138544
2019,1,121794674,2.2,1,13138545
