"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,132938657,121201786,1,4,,,,5,69,"F",0,3,"N",69,0
2019,132938658,121201787,1,1,,,,,,"",,,"",,
2019,132938659,121201788,1,4,,,,5,39,"F",1,2,"R",39,0
2019,132938660,121201789,1,4,,,,5,69,"M",1,2,"R",69,0
2019,132938662,121201791,1,4,,,,5,15,"F",2,2,"R",15,0
2019,132938664,121201793,1,1,,,,,,"",,,"",,
2019,132938666,121201794,2,4,,,,5,35,"F",2,2,"R",35,0
2019,132938665,121201794,1,4,,,,5,46,"M",1,2,"U",46,0
2019,132933887,121193717,1,4,,,,5,12,"M",2,2,"R",12,0
2019,132938667,121201795,1,4,,,,5,31,"F",2,2,"R",31,0
2019,132938668,121201796,1,8,,,,,,"",,,"",,
2019,132938670,121201798,1,1,,,,,,"",,,"",,
2019,132933899,121201799,2,4,,,,5,51,"F",1,2,"R",51,0
2019,132933898,121201799,1,4,,,,5,52,"M",1,1,"R",52,0
2019,132938671,121201799,3,4,,,,5,29,"M",1,1,"R",29,0
2019,132938672,121201800,1,4,,,,5,17,"F",1,2,"R",17,0
2019,132938675,121201801,3,4,,,,4,,"F",1,2,"R",,
2019,132938674,121201801,2,4,,,,5,31,"F",1,2,"R",31,0
2019,132938673,121201801,1,4,,,,5,39,"M",1,2,"R",39,0
2019,132938676,121201802,1,4,,,,5,31,"M",1,2,"R",31,0
2019,132938677,121201803,1,4,,,,5,19,"M",2,2,"N",19,0
2019,132938678,121201804,1,8,,,,,,"",,,"",,
2019,132938679,121201805,1,4,,,,5,27,"F",2,2,"R",27,0
2019,132938680,121201806,1,4,,,,5,29,"F",1,2,"R",29,0
2019,132938681,121201807,1,4,,,,5,57,"F",2,2,"R",57,0
2019,132938682,121201808,1,1,,,,,,"",,,"",,
2019,132938683,121193728,1,4,,,,5,49,"F",2,2,"R",49,0
2019,132938685,121201809,1,4,,,,5,26,"F",1,2,"R",26,0
2019,132938686,121201810,1,4,,,,5,22,"M",1,1,"R",22,0
2019,132938687,121201811,1,4,,,,5,26,"F",1,2,"R",26,0
2019,132938691,121201815,1,4,,,,5,19,"F",2,2,"R",19,0
2019,132938692,121201816,1,4,,,,5,49,"M",1,2,"R",49,0
2019,132938693,121201816,2,4,,,,5,37,"M",2,2,"R",37,0
2019,132938694,121201817,1,4,,,,5,27,"M",1,2,"R",27,0
2019,132938695,121201818,1,4,,,,5,18,"F",2,2,"R",18,0
2019,132938698,121201820,2,4,,,,5,14,"M",2,2,"R",14,0
2019,132938697,121201820,1,4,,,,5,34,"F",1,2,"R",34,0
2019,132938700,121201821,2,4,,,,5,14,"M",4,2,"R",14,0
2019,132938699,121201821,1,4,,,,5,51,"M",4,2,"R",51,0
2019,132938701,121201822,1,4,,,,5,67,"F",1,2,"R",67,0
2019,132938704,121201823,3,8,,,,,,"",,,"",,
2019,132938702,121201823,1,4,,,,5,37,"F",2,2,"R",37,0
2019,132938703,121201823,2,4,,,,5,38,"F",2,2,"R",38,0
2019,132938705,121201824,1,4,,,,5,22,"F",2,2,"R",22,0
2019,132938706,121201825,1,8,,,,,,"",,,"",,
2019,132938707,121201826,1,4,,,,5,31,"F",2,2,"N",31,0
2019,132938708,121201827,1,4,,,,5,20,"F",2,3,"R",20,0
2019,132938709,121201828,1,4,,,,5,41,"F",1,2,"R",41,0
2019,132938710,121201829,1,1,,,,,,"",,,"",,
2019,132938711,121201830,1,1,,,,,,"",,,"",,
2019,132938712,121201831,1,4,,,,5,38,"F",1,2,"R",38,0
2019,132938713,121201832,1,4,,,,5,35,"F",1,2,"N",35,0
2019,132938714,121201833,1,4,,,,5,48,"F",2,2,"N",48,0
2019,132938715,121201834,2,4,,,,5,47,"F",2,2,"R",47,0
2019,132938716,121201835,1,1,,,,,,"",,,"",,
2019,132938718,121201837,1,4,,,,5,29,"F",2,2,"R",29,0
2019,132938719,121201838,1,8,,,,,,"",,,"",,
2019,132938720,121201839,1,4,,,,5,40,"F",1,1,"R",40,0
2019,132938721,121201840,1,1,,,,,,"",,,"",,
2019,132938722,121201841,1,4,,,,5,58,"F",1,2,"R",58,0
2019,132938723,121201842,1,1,,,,,,"",,,"",,
2019,132938726,121201843,3,3,,,,,,"",,,"",,
2019,132938724,121201843,1,4,,,,5,70,"M",2,2,"R",70,0
2019,132938725,121201843,2,4,,,,5,69,"F",2,2,"R",69,0
2019,132938728,121201844,2,4,,,,5,31,"M",2,2,"R",31,0
2019,132938727,121201844,1,4,,,,5,29,"M",2,2,"R",29,0
2019,132938729,121201845,1,4,,,,5,61,"M",1,1,"R",61,0
2019,132938730,121201846,1,4,,,,5,29,"M",1,2,"R",29,0
2019,132938731,121201847,1,1,,,,,,"",,,"",,
2019,132938732,121201848,1,4,,,,5,43,"M",1,3,"R",43,0
2019,132938733,121201849,1,8,,,,,,"",,,"",,
2019,132938734,121201850,1,1,,,,,,"",,,"",,
2019,132938735,121201850,2,4,,,,5,48,"M",2,2,"R",48,0
2019,132938736,121201851,1,4,,,,5,21,"F",1,2,"R",21,0
2019,132938738,121201851,3,4,,,,5,19,"F",1,2,"R",19,0
2019,132938737,121201851,2,4,,,,5,36,"F",1,2,"R",36,0
2019,132938741,121201852,3,4,,,,5,40,"M",1,2,"U",40,0
2019,132938739,121201852,1,4,,,,5,40,"M",1,2,"R",40,0
2019,132938740,121201852,2,4,,,,5,32,"M",1,2,"R",32,0
2019,132938742,121201853,1,4,,,,5,34,"F",1,2,"R",34,0
2019,132938743,121201854,1,4,,,,5,16,"M",1,2,"R",16,0
2019,132938744,121201855,1,4,,,,5,18,"M",2,2,"R",18,0
2019,132938745,121201856,1,4,,,,5,28,"M",2,2,"R",28,0
2019,132938746,121201857,1,4,,,,5,52,"M",1,2,"R",52,0
2019,132938747,121201858,1,4,,,,5,28,"F",2,2,"R",28,0
2019,132938748,121201859,1,4,,,,5,40,"F",2,2,"R",40,0
2019,132938750,121201860,2,4,,,,5,36,"F",1,2,"R",36,0
2019,132938749,121201860,1,4,,,,5,19,"F",1,2,"R",19,0
2019,132938751,121201861,1,4,,,,5,31,"F",1,2,"N",31,0
2019,132938752,121201862,1,4,,,,5,19,"M",1,1,"R",19,0
2019,132938753,121201863,1,4,,,,5,38,"F",2,2,"R",38,0
2019,132938754,121201864,1,4,,,,5,43,"M",1,2,"R",43,0
2019,132938755,121201865,1,4,,,,5,61,"M",1,2,"R",61,0
2019,132938756,121201866,1,4,,,,5,52,"F",1,2,"R",52,0
2019,132938757,121201867,1,3,,,,,,"",,,"",,
2019,132938758,121201868,1,4,,,,5,70,"M",4,2,"R",70,0
2019,132938759,121201869,1,4,,,,5,23,"F",2,3,"R",23,0
2019,132938760,121201870,1,4,,,,5,61,"M",1,2,"R",61,0
2019,132938761,121201871,1,8,,,,,,"",,,"",,
2019,132938762,121201872,1,4,,,,5,27,"F",1,2,"R",27,0
2019,132938763,121201873,1,1,,,,,,"",,,"",,
2019,132938766,121201874,3,4,,,,5,28,"M",2,2,"R",28,0
2019,132938765,121201874,2,4,,,,5,48,"M",1,2,"U",48,0
