"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,125006699,128501067,1,38704317
2019,125014534,128508105,24,38700010
2019,125014685,128508283,3,38716343
2019,125019806,128504029,3,38711364
2019,125019790,128504003,3,38704438
2019,125014560,128508137,3,38711255
2019,125014564,128508141,3,38711256
2019,125014566,128494205,16,38704367
2019,125014581,128508153,3,38711263
2019,125002157,128501198,3,38700078
2019,125006814,128494273,4,38704388
2019,125006811,128494273,3,38704387
2019,125014641,128508213,3,38711301
2019,125014650,128494298,21,38711311
2019,125014655,128508233,3,38711315
2019,125018488,128494306,3,38700683
2019,125018488,128494307,16,38700684
2019,125002062,128501102,18,38700024
2019,125002112,128494185,3,38700064
2019,125002112,128494184,3,38700063
2019,125014569,128494209,26,38711259
2019,125006766,128501165,5,38704368
2019,125014575,128501169,24,38711261
2019,125014579,128508151,3,38711262
2019,125014584,128508156,24,38711264
2019,125002143,128508163,3,38700072
2019,125014591,128494236,3,38711265
2019,125014593,128494236,16,38711266
2019,125014603,128508174,24,38711267
2019,125014603,128508175,24,38711268
2019,125014604,128508176,3,38711269
2019,125014653,128508231,3,38711313
2019,125014663,128508246,1,38711323
2019,125001968,128508055,21,38699940
2019,125014644,128494296,5,38711305
2019,125014645,128494296,16,38711307
2019,125014645,128494297,17,38711308
2019,125014644,128494297,16,38711306
2019,125006684,128494126,18,38704297
2019,125019776,128503993,16,38711350
2019,125006895,128494351,19,38704451
2019,125006906,128494357,3,38704459
2019,125006907,128494359,16,38704461
2019,125006909,128494358,24,38704462
2019,125006907,128494358,24,38704460
2019,125006909,128494359,18,38704463
2019,125006910,128504038,3,38704464
2019,125019820,128504048,4,38711371
2019,125019819,128504048,3,38711370
2019,125006914,128494365,24,38704465
2019,125006914,128494366,24,38704466
2019,125006917,128494370,18,38704467
2019,125006918,128494371,3,38704468
2019,125006919,128494372,3,38704469
2019,125006920,128494376,18,38704473
2019,125006920,128494375,18,38704472
2019,125006920,128494373,18,38704470
2019,125006920,128494374,18,38704471
2019,125006925,128494383,1,38704474
2019,125006926,128504059,17,38704475
2019,125006927,128504059,19,38704476
2019,125019840,128494386,16,38704477
2019,125006930,128494387,3,38704478
2019,125006936,128494389,3,38704479
2019,125019848,128504074,3,38711397
2019,125006939,128494393,3,38704482
2019,125006946,128494401,3,38704483
2019,125006955,128494408,1,38704487
2019,125006955,128494409,1,38704488
2019,125006956,128494410,3,38704489
2019,125006962,128494420,16,38704492
2019,125006963,128494419,16,38704494
2019,125006962,128494419,16,38704491
2019,125006963,128494420,16,38704495
2019,125006962,128494418,16,38704490
2019,125006963,128494418,16,38704493
2019,125006969,128494427,3,38704496
2019,125006970,128494428,16,38704497
2019,125006973,128494436,3,38704498
2019,125006974,128494437,3,38704499
2019,125006977,128494441,3,38704501
2019,125006980,128494444,3,38704502
2019,125006983,128494447,3,38704503
2019,125006984,128494448,15,38704504
2019,125006986,128494450,3,38704505
2019,125006999,128494463,18,38704508
2019,125007001,128494466,1,38704509
2019,125007002,128494467,3,38704510
2019,125007004,128494468,24,38704512
2019,125007003,128494468,1,38704511
2019,125007005,128494469,21,38704513
2019,125007006,128494470,6,38704514
2019,125007008,128494473,18,38704516
2019,125007008,128494472,18,38704515
2019,125007010,128494475,18,38704517
2019,125007010,128494476,18,38704518
2019,125007010,128494477,18,38704519
2019,125007023,128494491,25,38704521
2019,125007024,128494492,25,38704524
2019,125007023,128494492,3,38704522
2019,125007024,128494491,3,38704523
2019,125007025,128494493,26,38704525
2019,125007026,128494494,3,38704526
2019,125007028,128494495,5,38704528
2019,125007027,128494495,19,38704527
2019,125007029,128494495,9,38704529
2019,125007030,128494496,24,38704530
2019,125007030,128494497,24,38704531
2019,125007032,128494500,18,38704532
2019,125007033,128494502,24,38704534
2019,125007033,128494501,24,38704533
2019,125007033,128494503,24,38704535
2019,125007035,128494505,24,38704536
2019,125007036,128494505,24,38704537
2019,125007037,128494505,24,38704538
2019,125007041,128494510,3,38704539
2019,125007042,128494511,3,38704540
2019,125007043,128494512,3,38704541
2019,125007044,128494513,18,38704542
2019,125007046,128494514,19,38704543
2019,125007053,128494521,3,38704544
2019,125007054,128494522,3,38704545
2019,125007055,128494523,18,38704546
2019,125007056,128494524,3,38704547
2019,125007057,128494525,17,38704548
2019,125007070,128494538,3,38704552
2019,125007071,128494539,3,38704553
2019,125007075,128494543,1,38704554
2019,125007075,128494544,1,38704555
2019,125007077,128494546,3,38704556
2019,125007082,128494550,1,38704558
2019,125007083,128494551,3,38704559
2019,125007085,128494553,1,38704560
2019,125007093,128494560,24,38704561
2019,125007095,128494562,3,38704562
2019,125007098,128494568,24,38704563
2019,125007103,128494572,9,38704565
2019,125007104,128494573,24,38704566
2019,125007105,128494574,3,38704567
2019,125007107,128494576,3,38704568
2019,125007109,128494578,3,38704570
2019,125007110,128494579,1,38704571
2019,125007111,128494580,16,38704572
2019,125007118,128494587,3,38704573
2019,125007125,128494594,3,38704575
2019,125007126,128494595,3,38704576
2019,125007129,128494597,3,38704577
2019,125007132,128494600,1,38704578
2019,125007133,128494601,1,38704579
2019,125007134,128494602,16,38704580
2019,128261182,133056163,5,40047078
2019,128261183,133056163,5,40047079
2019,128261205,133056194,3,40047102
2019,128261218,133056206,3,40047112
2019,128261249,133056239,3,40047122
2019,128261285,133056287,3,40047153
2019,125007135,128494603,3,38704581
2019,125007137,128494605,3,38704582
2019,125007141,128494608,3,38704587
2019,125007142,128494610,18,38704589
2019,125007142,128494609,18,38704588
2019,125007143,128494612,18,38704591
2019,125007143,128494611,18,38704590
2019,128261295,133056298,15,40047157
2019,128261296,133056299,3,40047158
2019,125007151,128494616,17,38704595
2019,125007153,128494617,3,38704596
2019,125007159,128494623,3,38704597
2019,125007161,128494626,3,38704598
2019,125007165,128494630,1,38704599
2019,125007165,128494631,1,38704600
2019,125007167,128494632,15,38704603
2019,125007168,128494633,15,38704606
2019,125007168,128494632,15,38704605
2019,125007166,128494633,15,38704602
2019,125007167,128494633,15,38704604
2019,125007166,128494632,15,38704601
2019,128261301,133056304,24,40047160
2019,128261306,133056308,18,40047164
2019,128261334,133056340,3,40047180
2019,128261334,133056341,3,40047181
2019,128261342,133056353,1,40047186
2019,128261342,133056352,16,40047185
2019,128261348,133056359,3,40047192
2019,128261359,133056371,3,40047201
2019,128261361,133056374,24,40047203
2019,128261361,133056373,24,40047202
2019,128261363,133056377,3,40047204
2019,128261374,133056387,3,40047211
2019,125007178,128494649,24,38704624
2019,125007178,128494651,24,38704626
2019,125007178,128494650,24,38704625
2019,125007179,128494650,24,38704629
2019,125007178,128494652,24,38704627
2019,125007179,128494651,24,38704630
2019,125007179,128494649,24,38704628
2019,125007179,128494652,24,38704631
2019,125007180,128494653,26,38704632
2019,125007180,128494654,16,38704633
2019,128261379,133056392,24,40047214
2019,128261382,133056396,18,40047221
2019,128261382,133056395,18,40047220
2019,128261381,133056395,24,40047216
2019,128261381,133056397,24,40047218
2019,128261381,133056394,24,40047215
2019,128261382,133056397,18,40047222
2019,125007189,128494656,1,38704641
2019,125007192,128494660,18,38704643
2019,125007192,128494659,18,38704642
2019,125007195,128494663,3,38704644
2019,125007196,128494664,3,38704645
2019,125007198,128494666,3,38704646
2019,125007199,128494667,3,38704647
2019,125007200,128494668,3,38704648
2019,125007201,128494669,18,38704649
2019,125007205,128494673,3,38704650
2019,125007207,128494675,3,38704651
2019,125007211,128494679,18,38704652
2019,125007212,128494679,18,38704653
2019,125007214,128494681,18,38704657
2019,125007214,128494680,18,38704656
2019,125007213,128494681,18,38704655
2019,125007213,128494680,18,38704654
2019,125007215,128494682,18,38704658
2019,125007243,128494708,16,38704660
2019,125007247,128494716,24,38704661
2019,125007248,128494717,17,38704662
2019,125007249,128494717,19,38704663
2019,128261381,133056396,24,40047217
2019,128261382,133056394,18,40047219
2019,125007257,128494728,3,38704666
2019,125007257,128494729,24,38704667
2019,125007261,128494733,3,38704668
2019,125007262,128494734,3,38704669
2019,125007270,128494743,1,38704671
2019,125007270,128494742,1,38704670
2019,125007273,128494746,3,38704672
2019,125007274,128494747,3,38704673
2019,125007285,128494755,16,38704674
2019,125007287,128494757,16,38704675
2019,125007292,128494761,24,38704676
2019,125007292,128494763,24,38704678
2019,125007292,128494762,16,38704677
2019,125007295,128494767,17,38704680
2019,125007295,128494766,24,38704679
2019,125007295,128494768,25,38704681
2019,125007297,128494769,18,38704682
2019,125007304,128494776,21,38704683
2019,125007305,128494778,14,38704685
2019,125007305,128494779,1,38704686
2019,125007305,128494780,14,38704687
2019,125007305,128494777,14,38704684
2019,125007308,128494784,9,38704688
2019,125007309,128494785,3,38704689
2019,125007310,128494786,3,38704690
2019,128261385,133056400,24,40047225
2019,125007316,128494793,12,38704693
2019,125007329,128494804,19,38704694
2019,125007336,128494810,1,38704695
2019,125007346,128494821,1,38704696
2019,125007352,128494826,3,38704697
2019,125007354,128494829,24,38704703
2019,125007354,128494827,24,38704701
2019,125007353,128494829,3,38704700
2019,125007353,128494827,1,38704698
2019,125007353,128494828,18,38704699
2019,125007354,128494828,24,38704702
2019,125007366,128494841,24,38704706
2019,125007366,128494842,24,38704707
2019,125007371,128494847,19,38704708
2019,125007371,128494848,1,38704709
2019,125007375,128494851,16,38704712
2019,125007374,128494851,19,38704711
2019,125007378,128494854,18,38704713
2019,125007380,128494856,18,38704714
2019,128261395,133056409,19,40047232
2019,128261396,133056410,3,40047233
2019,128261400,133056414,3,40047234
2019,128261407,133056421,18,40047237
2019,125007388,128494872,1,38704720
2019,125007393,128494878,1,38704721
2019,125007394,128494879,19,38704722
