"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,8143027,5659,1,2019,"I",,"Y","G","C","2019_01_IL1010400_NIBRS",69747059,0
2019,8150689,5659,2,2019,"I",,"Y","G","C","2019_02_IL1010400_NIBRS",69747060,0
2019,8158351,5659,3,2019,"I",,"Y","G","C","2019_03_IL1010400_NIBRS",69747061,0
2019,8166013,5659,4,2019,"I",,"Y","G","C","2019_04_IL1010400_NIBRS",69747062,0
2019,8173675,5659,5,2019,"I",,"Y","G","C","2019_05_IL1010400_NIBRS",69747064,0
2019,8181337,5659,6,2019,"I",,"Y","G","C","2019_06_IL1010400_NIBRS",69747065,0
2019,8188999,5659,7,2019,"I",,"Y","G","C","2019_07_IL1010400_NIBRS",69747066,0
2019,8196661,5659,8,2019,"I",,"Y","G","C","2019_08_IL1010400_NIBRS",69747067,0
2019,8204323,5659,9,2019,"I",,"Y","G","C","2019_09_IL1010400_NIBRS",69747068,0
2019,8211985,5659,10,2019,"I",,"Y","G","C","2019_10_IL1010400_NIBRS",69747069,0
2019,8219647,5659,11,2019,"I",,"Y","G","C","2019_11_IL1010400_NIBRS",69747070,0
2019,8227309,5659,12,2019,"I",,"Y","G","C","2019_12_IL1010400_NIBRS",69747071,0
