ARRESTEE_ID,INCIDENT_ID,ARRESTEE_SEQ_NUM,SEASON,ARREST_TYPE_ID,MULTIPLE_INDICATOR,AGE_ID,AGE_NUM,SEX_CODE,RACE_ID,ETHNICITY_ID,RESIDENT_CODE,UNDER_18_DISPOSITION_CODE,CLEARANCE_IND,AGE_RANGE_LOW_NUM,AGE_RANGE_HIGH_NUM,ARREST_TYPE_CODE,ARREST_TYPE_NAME,OFFENSE_CODE,OFFENSE_NAME,CRIME_AGAINST,CT_FLAG,HC_FLAG,HC_CODE,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,OFFENSE_ID,ATTEMPT_COMPLETE_FLAG,LOCATION_ID,NUM_PREMISES_ENTERED,METHOD_ENTRY_CODE,LOCATION_NAME
33189213,111310423,1,winter,2,N,5,13,F,2,2,R,R,,13,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136132003,C,41,,,School-Elementary/Secondary
33184419,111310437,1,winter,2,N,5,15,F,1,1,R,H,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136125400,C,41,,,School-Elementary/Secondary
33189238,111310463,1,winter,2,N,5,15,M,1,2,R,H,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136132091,C,41,,,School-Elementary/Secondary
33182460,111317968,1,winter,2,N,5,14,F,2,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136132099,C,41,,,School-Elementary/Secondary
33189275,111310567,1,spring,2,N,5,14,M,1,1,R,H,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136132224,C,41,,,School-Elementary/Secondary
33189097,111314249,1,winter,2,N,5,14,M,1,1,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136130229,C,41,,,School-Elementary/Secondary
33182354,111314350,1,winter,2,N,5,16,M,1,1,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136131751,C,41,,,School-Elementary/Secondary
33182354,111314350,1,winter,2,N,5,16,M,1,1,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136131752,C,41,,,School-Elementary/Secondary
37102539,121201642,1,autumn,2,N,5,14,M,1,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,146755956,C,41,,,School-Elementary/Secondary
37102539,121201642,1,autumn,2,N,5,14,M,1,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,146755955,C,41,,,School-Elementary/Secondary
37098303,121201741,1,autumn,2,N,5,15,M,2,2,R,H,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,146744957,C,41,,,School-Elementary/Secondary
33184429,111317951,1,winter,2,N,5,17,M,1,1,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136130696,C,41,,,School-Elementary/Secondary
31971374,107372676,1,winter,2,N,5,14,F,1,1,R,H,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,131748568,C,41,,,School-Elementary/Secondary
33184335,111314433,1,winter,2,N,5,16,F,2,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136125247,C,41,,,School-Elementary/Secondary
